DATE,CSCICP03USM665S
2018-01-01,101.217656827752
2018-02-01,101.373708496278
2018-03-01,101.47064477284
2018-04-01,101.421906242801
2018-05-01,101.339624994317
2018-06-01,101.284088200033
2018-07-01,101.253934766078
2018-08-01,101.264713276219
2018-09-01,101.34450370101
2018-10-01,101.32745911373
2018-11-01,101.222927688111
2018-12-01,101.059838661574
2019-01-01,100.864617436546
2019-02-01,100.916359206488
2019-03-01,101.124799360443
2019-04-01,101.277846661442
2019-05-01,101.362629539616
2019-06-01,101.274321891964
2019-07-01,101.053656302393
2019-08-01,100.768041340522
2019-09-01,100.755248301118
2019-10-01,100.919116721448
2019-11-01,101.133706968518
2019-12-01,101.344175042275
2020-01-01,101.501819802713
2020-02-01,101.64137926952
